"20","Benin",50,94822814,1338520,247369,0,3326,19817,32471236,25641,100911381,528384,6091091,19349,1100264,17535164,0,5007289,38234,0,54659,107142,589713,9748762,9810,311997,0,39882588,4464,74323,1970325,16394,352746,436640,136040,0,54981,0,169359,1593931,50639,0,29342,0,4936998,0,302,0,267035,394337,0,0,118841983,0,15197,0,0,22608,1486,0,0,1018,189624,178610,11972,91,0,0,23619,36580,10318,23151858,36417351,1562822,2528,0,262339,14499,0,0,2528,21762,1,8045720,15574449,393387,6923336,0,0,50508,785,22809,0,748519,9279,0,12299,0
"21","Bhutan",0,0,321,59620,147,0,5774735,10336111,5358096,333285,161360,27639,0,36184,298244,0,0,0,752,3729577,195469,3318948,77682,0,64416806,473282,4876534,31498499,0,0,0,7975,41008,138606,0,0,0,112310,5340607,30820,15592,239,0,6807947,0,329,137654,38863,24144,3668,0,190,17943,454001,394810,14525,21337,0,22,0,9,35,1273,9,236,0,0,1326553,3928,296491,809,163627856,2814,38526248,0,132979,388,0,112886,16739561,0,10281,1854,46971592,0,0,0,0,0,0,4606,0,1099014,4756,0,1149,41231
"22","Bolivia (Plurinational State of)",0,2302680,0,18148792,168597,1615107,37497844,119685387,17499630,54135574,2221265,84166693,2975,201915,298205915,1088273,46126894,4036234,6059526,12088785,171089,54749181,343163679,1335920,18041923,1841480507,3014854921,82572024,1160595,1544488,0,401075,3287480,5741252,81578,11478429,0,964219,9474880,6210,33246710,1873246,136747,96533449,0,6988,2102171,514596,236754,8,5057682,2708238,10462,5097756,1021898,32256,6633,7697315,1976422,2312516,45056527,11475504,6166510,2169981,4163378,21514,0,3798464,2224517,1026765,276296068,7145560,555567,10414727,2998,2989025,631698,0,293810039,3913459,3098,123414,3635196,2537337,0,16931,0,0,6371454,0,122738,0,23411813,305162,623446,11005,0
"23","Bosnia Herzegovina",5106611,8970650,9884594,52709492,37690,1012586,20593086,29126170,4586824,19104210,1564720,3739170,9637,79483,35924082,19765734,36898204,10004415,24423455,13120417,10010426,22739675,13892379,12439613,35679581,40100381,724639164,209518493,11554057,44369177,5634486,7696886,12209736,2496875,582515,6822336,138732,25491183,83374203,5199170,60338286,10828934,1797897,274957954,14927,2408689,5942203,124432206,6968296,73610,751537,19317580,126594,1530241,10799939,215863,652323,159391,594047,1140472,49704538,113639597,15003021,274507125,1423966,3105051,69544,23223860,7170105,4008254,2537742,288518083,248139450,50609603,627170,402520389,9063898,3216670,34927,15322,14475297,33606412,317383548,147228615,1750271,99393696,1490869,945636,9501467,1102475,240967,0,451095386,6430587,1071910,211716,125738733
"24","Botswana",127804,159519621,20321,1016716,7317,336,959338,27120,261884,1115657,11961186,5172915,2090117,20,1601722,722135,22644103,72035,4828613,1208990,911386,17959598,2376986,3741611,18852694,109205170,16779976,69346265,25592,6491302,11398,613614,1736901,1363641,34217,2368746,23212,1906570,18780798,422881,6225367,63767,30244,1206810,9842,33499,1024091,12978979,1090425,24,6916,20249,5607,641217,119149,453019,527190,535698,318622,250587,49244490,99074684,12023699,2326256,880646,36826,394703,910933,787994,415421,3270227276,14072487,16012608,3089878,512469790,1145829,1371274,8152,3785,51558,1059430,491427,39217040,65358563,510623,73573667,1310486,1059230,2274942,67675,6134,413026,4057627,228823,372631,21234,6815446
"25","Brazil",697277863,11878430662,199374163,301513874,449771200,28753900,19126220,875201212,5398681736,2606444581,51348822,11177845756,79109182,13382669,1661416789,1466652913,12954730930,418784675,167548580,1997065331,1131490166,1120007561,5038397929,2762245963,718645775,30839061059,23413368125,2731101564,3173923329,1276190164,314780439,415929424,704369005,321177606,307578142,25444171,76556648,925625513,3236890970,2104907379,1742722794,93404359,29592219,1917892951,1933602,145900,4761677070,2008555598,50194626,35201497,34770419,997408781,40226864,93415605,167824989,265158078,22643357,41644094,125791546,53194411,102803693,73827147,211574785,1647600661,4849449,350848,219827,1015000189,376751632,292854489,2340754613,8388002886,1507697788,666720523,430879590,1766309101,1348698,142777604,31983161,121953778,470238274,884481941,11083761573,5133205221,592367450,12138412392,4366240018,175765257,820636288,3345498,5319170,321620981,882663117,39522494,156212757,19801426,133698216
"26","Brunei Darussalam",20583,41474,1002912,136739,47,10696,13211,160979,4749,201,9790,34594,63828,0,55640,96653,20067,93931,347794,151933,214345,928130,2047,146,199225,4,8475953443,3556091,94672480,415384,141814,137753,116045,120869,25977,272926,27893,1126761,1571353,3078931,159597,244064,0,3119373,0,2730,260620,491915,751821,45505,0,73068,0,12987,0,40200,49966,48908,3623,21408,3578379,3874660,1012471,102614,262710,3193,3348,407119,754916,168389,4408176,11521470,12225358,2196430,7444,785957,7664,15301,1,20101,9963903,3535254,64383194,53911328,1353619,5946797,33207552,1250972,86983663,144059,893280,0,689417,481504,29213,69835,13613107
"27","Bulgaria",45167017,206889589,26523949,156918116,4532381,6615944,82051664,77233435,53662239,726790289,54433300,623206752,457764,790958,140728729,24893225,174039894,71562717,183750482,137654613,48400128,126119489,125170590,360901109,73550028,164196987,2739758562,234477156,104609760,555246463,160828211,23338464,162466823,40236098,41530200,5009507,87889489,39593273,414588966,131632948,19497010,46293625,866690,273131405,425156,412556,76733896,130000043,14881209,1360591,83087419,27169248,2525485,47140673,102618252,20816399,11396026,3074380,2325415,28527235,695027308,892836202,93853977,252581793,2472220,1234910,825887,45877406,128968162,280220989,241259410,875315453,342906895,2057037816,2805944,308734270,177670528,192401734,435154,13414358,28812131,53953711,1377651078,1528634707,72699963,399773650,12283702,77882309,297320234,4369106,2373257,0,312372635,116741169,20491499,777605,366257961
"28","Burkina Faso",10378424,38668,655334,0,1215,1729207,7513472,13856143,225539,9607113,553236,71558611,26544,1116,3719168,0,121541,0,27619,1161257,2207518,2384450,4680487,6830615,3517817,5005790,208221,506900,1620,609399,1043301,645795,13644,35676,0,36169,0,1951067,377310,301204,3188573,21116,0,66032,0,19530,0,42466,133164,0,0,228143152,0,3482,5389,1036879,0,0,0,1033,53180,189761,883035,319,3961,0,0,47716,417299,53683,883677015,3667688,958998,120343,0,125257,0,21162,0,0,23109,61344,7438862,1193919,10388,656508,1475111,0,346890,0,1068,11119,2172770,1073,0,330042,0
"29","Burundi",0,0,184197,4595,487,45786,63497,95035,80508217,243304,586437,184453,0,0,125542,0,501913,0,2490,2187,9406,1894685,7600,1383214,15249,3415512,2444062,3618,68996,113271,0,2015,19818,1306160,0,0,19249,0,122124,0,3616622,0,1799,48713,0,0,0,342667,90125,0,0,1519374,0,0,2157,64,5403,0,0,0,20496,292456,19723,47984,1773,0,0,24155,1661,34786,13009315,2042085,143535,0,8,9363,0,8553,0,46509,24401,558,504917,591640,0,1603582,0,44382,206640,15839,1982,22705,47587,0,183624,3639,202486
"30","Cabo Verde",0,223446,38829747,41683,167,0,43654,29700,43191,21006,8085,48624,0,11,27609,18280350,64136,52717,102466,59262,103278,1096998,0,196511,3714,0,58703311,7670,1015,16672,0,378769,175886,44004,5684,5080,9212,173370,709359,110121,1330,14915,0,70170,105,0,0,145457,9527,0,0,11333,0,41213,35364,84993,2757,0,1963,0,2369138,2593383,171356,4398138,4846,0,5,15648,799,181288,2904,478896,846175,20132,4700,290396,44676,5780,310,0,496154,59255,4679459,3430984,73262959,958177,130749,28809,5263808,6620,540,999,227160,161655,7971,0,1
"31","Cambodia",97937,23193,2840706,0,314,43895,835575,130033,113023,37283704,2671558,2375239,0,7838,10034301,0,5144194,0,93883,55982,12122,12372971,5623536,11974078,612289,6699,5791,10661,59396,3198671,155049,70095,24596,172649,22057,0,113650,21543,8286136,86864305,462400,867252,0,37903842,0,421806,510178,1120260,1777014658,3985,0,672993,0,232042,3465647,18832,98668,406982,219124,2626043,2945024615,88319948,15470873,177108092,6816240,0,161719,9272,953947,64775,3866190,2686392,9501769,753,0,6188920,0,0,0,0,315437,296334,143714991,5626994,2069661,103917205,96171,13713109,5021774,81968,266981,202468,13497488,1206299,2137535,20684258,3679532
"32","Cameroon",196843,4944,2866166,2337000,9297,762996,2120772,85113225,66992669,1547349,1288819,434598,44924,2810,7761484,13270,11502040,717789249,3127739,5207999,25746352,12263774,258673,1926754,3081075,0,1921658305,29307506,965128,279872,2667774,4682281,4733819,32877521,82229,2901621,7395,1406460,11244702,96641741,244994,26735,1365,446405287,0,12494,0,20911727,736679,0,0,82800558,659,33744,100451,59364,4524,11368,808489,23413,244075,258818,1699941,85374,41415,40542,550971,313437,409840,16771240,65112,19075557,7787114,136568,0,120856045,1718969,1095,0,355890,1188204,108501,60188243,6849083,1020342,7789270,363897,2661402,12518826,5981,0,0,1060343,90591,20922,116203,1
